Timestamp,Please state your gender,Age band you fall into?,Your highest education level?,Which of the following best describes your current work situation?,Which of these best describe the community you live in?,Marital Status,"how many children under the age of 18 live with you, in your household?","how many  people aged 18 and over live with you, in your household. please do not count yourself ( Add if necessary: including your partner)?",Who is responsible for day-to-day monetary decisions in your household?,Does your household have a budget?,Which of the following statements best describe your pattern for choosing a financial product/service,Which source of financial information influences you the most?,"Before I buy something, I carefully consider whether I can afford it",I tend to live for today and let tomorrow take care of itself,I find it more satisfying to spend money than to save it for the long term,I pay my bills on time,I am prepared to risk some of my own money when saving or making an investment,I keep a close personal watch on my financial affairs,I set a long term financial goals and strive to achieve them,Money is there to be spent,"In the last 12 months, did your income seem not to cover your living costs?","If yes, how did you manage to make ends meet?","In the past 12 months, have you been saving money in the following forms?","If you lost your main source of income, how long could you do without borrowing money?",Which bracket does your household income fall into?,"Which form of ""more than one"" source of income you have?","Considering all the sources of income, is your household income regular and reliable?",Your retirement is covered under which of the following?,What is your view about saving money?,Do you have any such habits?,"Suppose you put ₹10,000 into a <no fee> savings account with a guaranteed interest of 2% per year. You don't make any further payments into this account and you don't withdraw any money. How much would be in the account at the end of the first year, once the interest payment is made?"
2019/07/03 12:27:57 AM GMT+5:30,Male,20-29,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,0,5,Your partner,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,3,4,4,4,3,4,4,5,Yes,Borrowing money from known contacts/resources,Have not been actively saving,Don't know,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,None,"Source of privilege, luxury, power and prestige",Drinking;Smoking,"₹ 10,200.00"
2019/07/03 12:28:44 AM GMT+5:30,Male,40-49,Post Graduation,Self employed/Business,A large city ( with over  1000 000 people),Married,1,5,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,3,3,2,2,2,1,2,Yes,Creating resources by working overtime,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than 6 months,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,Others,"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,222.00"
2019/07/03 12:56:37 AM GMT+5:30,Male,30-39,Graduation,Self employed/Business,A large city ( with over  1000 000 people),Married,3,8,You and another family member,Yes,I consider several products from different companies before making decision,Information picked up at any bank branch,2,2,3,1,2,2,2,4,Yes,Existing resources like FDs or selling something you own,Building up balance of money in bank account,Don't know,"₹10,000-₹50,000 monthly",Parental support,Don't know,Public Provident Fund (PPF),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/03 1:32:04 AM GMT+5:30,Female,20-29,Post Graduation,Self employed/Business,A city ( 100 000 people to about 1 000 000 people),Single,0,6,Another member of family or[family members],No,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,3,4,1,1,1,3,2,No,,Building up balance of money in bank account,Less than a month,"₹50,000-₹1,00,000 monthly",Parental support,Yes,None,A means to make ends meet,None of the above,Don't know
2019/07/03 1:33:05 AM GMT+5:30,Female,20-29,Post Graduation,Student,A city ( 100 000 people to about 1 000 000 people),Married,No,1,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,5,5,1,1,3,1,3,No,Creating resources by working overtime,Saving cash at home,Prefer not to say,"₹10,000-₹50,000 monthly",Working spouse,Don't know,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,Don't know
2019/07/03 7:17:20 AM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,1,1,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,3,4,5,1,1,3,5,3,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"above ₹1,00,000 monthly",Not applicable,Yes,New National Pension Scheme (NPS),A means to make ends meet,Drinking,Don't know
2019/07/03 7:59:31 AM GMT+5:30,Female,40-49,Ph.D/Post Doctorate,In paid employment(Government service),A city ( 100 000 people to about 1 000 000 people),Married,2,1,You and your partner,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,4,4,1,2,2,2,2,No,others,"Investing in financial products like stocks, shares, bonds, trusts, etc",Less than 3 months,"above ₹1,00,000 monthly",Working spouse,Yes,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/03 8:18:21 AM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,2,You and your partner,Yes,I consider several products from different companies before making decision,Financial pages of newspaper/magazines,1,4,4,1,3,1,1,3,Not applicable,,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,Public Provident Fund (PPF),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/03 8:46:10 AM GMT+5:30,Female,20-29,Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,None,3,Another member of family or[family members],No,I don't compare any products at all,General advice from friends/relatives/employers,1,2,1,1,1,2,5,2,Yes,,,Less than 6 months,"above ₹1,00,000 monthly",Not applicable,Yes,New National Pension Scheme (NPS);Employee Provident Fund (EPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,000.00"
2019/07/03 9:19:31 AM GMT+5:30,Female,30-39,Post Graduation,Self employed/Business,A large city ( with over  1000 000 people),Married,1,1,You and your partner,No,I don't compare any products at all,Product specific information found on the net,1,3,3,1,5,4,5,3,Prefer not to say,Prefer not to say,Have not been actively saving,Prefer not to say,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/03 9:40:51 AM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,2,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,2,3,1,2,2,3,2,Yes,Borrowing from exiting credit line like credit card/overdraft/cash-in advance,Have not been actively saving,Less than 3 months,"₹50,000-₹1,00,000 monthly",Not applicable,Yes,None,A responsibility for coming generations,Smoking,"₹ 10,200.00"
2019/07/03 10:43:30 AM GMT+5:30,Female,30-39,Ph.D/Post Doctorate,Homemaker,A large city ( with over  1000 000 people),Married,2,4,Your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,5,5,1,3,3,3,3,Yes,Creating resources by working overtime,Building up balance of money in bank account,More than 6 months,"₹50,000-₹1,00,000 monthly",Not applicable,Yes,Public Provident Fund (PPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/03 12:54:23 PM GMT+5:30,Male,30-39,Graduation,In paid employment(Government service),A city ( 100 000 people to about 1 000 000 people),Married,1,5,You,Yes,I consider several products from different companies before making decision,"Specialist magazines/publications like Forbes India, Business Today, etc.",1,3,4,1,5,2,3,3,No,,Have not been actively saving,Less than a month,"₹50,000-₹1,00,000 monthly",Parental support,Yes,New National Pension Scheme (NPS),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/03 2:04:17 PM GMT+5:30,Male,30-39,Post Graduation,Self employed/Business,A large city ( with over  1000 000 people),Single,none,4,You and another family member,No,I consider several products from different companies before making decision,Product specific information found on the net,1,4,4,1,1,1,3,3,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"above ₹1,00,000 monthly",Parental support,Yes,Public Provident Fund (PPF),"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,200.00"
2019/07/03 2:23:11 PM GMT+5:30,Female,20-29,Post Graduation,Looking for job,A large city ( with over  1000 000 people),Married,1,4,You and another family member,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,4,4,1,3,1,1,2,No,Creating resources by working overtime,Saving cash at home,More than 6 months,"above ₹1,00,000 monthly",Working spouse,Yes,None,"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,222.00"
2019/07/03 2:48:47 PM GMT+5:30,Female,20-29,Graduation,Homemaker,A large city ( with over  1000 000 people),Married,1,1,You and your partner,Yes,I consider several products from different companies before making decision,My own previous experience,1,4,4,1,1,1,1,1,No,Existing resources like FDs or selling something you own,Building up balance of money in bank account,Less than a month,"₹50,000-₹1,00,000 monthly",Working spouse,Yes,Employee Provident Fund (EPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/03 2:52:21 PM GMT+5:30,Male,30-39,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,1,You,Yes,I consider several products from different companies before making decision,"Specialist magazines/publications like Forbes India, Business Today, etc.",1,4,5,1,1,1,1,3,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"above ₹1,00,000 monthly",Not applicable,No,New National Pension Scheme (NPS);Employee Provident Fund (EPF);Public Provident Fund (PPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/03 3:13:03 PM GMT+5:30,Female,20-29,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,No one,5,You,Yes,I consider several products from different companies before making decision,Information picked up at any bank branch,3,4,5,1,3,1,3,5,No,,Building up balance of money in bank account,Less than 3 months,"₹10,000-₹50,000 monthly",Not applicable,Yes,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/03 3:26:06 PM GMT+5:30,Female,30-39,Post Graduation,Homemaker,A city ( 100 000 people to about 1 000 000 people),Married,1,1,You and your partner,Yes,I consider several products from different companies before making decision,My own previous experience,1,4,3,2,3,2,2,3,Prefer not to say,Prefer not to say,Prefer not to say,Don't know,"upto ₹10,000 monthly",Not applicable,Prefer not to answer,Others,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,Don't know
2019/07/03 3:50:20 PM GMT+5:30,Male,30-39,Post Graduation,Self employed/Business,A city ( 100 000 people to about 1 000 000 people),Married,2,6,You and another family member,No,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,3,4,4,1,3,2,3,3,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",Prefer not to say,"₹50,000-₹1,00,000 monthly",Side business,Yes,Employee Provident Fund (EPF);Public Provident Fund (PPF),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/03 5:58:38 PM GMT+5:30,Female,60-69,Ph.D/Post Doctorate,In paid employment(Government service),A city ( 100 000 people to about 1 000 000 people),Married,2,3,You and your partner,Yes,I consider several products from different companies before making decision,My own previous experience,1,1,3,1,1,1,1,3,Not applicable,,Building up balance of money in bank account,Less than 3 months,"₹10,000-₹50,000 monthly",Not applicable,Yes,New National Pension Scheme (NPS),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/03 6:48:51 PM GMT+5:30,Male,30-39,Ph.D/Post Doctorate,In paid employment(Government service),A large city ( with over  1000 000 people),Married,2,,You and your partner,No,I don't compare any products at all,General advice from friends/relatives/employers,2,2,2,4,3,4,4,2,Don't know,Don't know,Don't know,More than 6 months,"₹50,000-₹1,00,000 monthly",Not applicable,Yes,New National Pension Scheme (NPS),Does not consider it important,Smoking,"₹ 10,200.00"
2019/07/03 9:11:03 PM GMT+5:30,Female,20-29,Post Graduation,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Single,None,1,You,Yes,Not applicable,Product specific information found on the net,1,5,5,1,1,1,1,5,No,others,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"₹10,000-₹50,000 monthly",Not applicable,No,New National Pension Scheme (NPS);Public Provident Fund (PPF),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/04 5:41:40 AM GMT+5:30,Female,30-39,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,Four,5,Your partner,Yes,Don't know,,1,5,5,1,5,1,1,5,Not applicable,,"Investing in financial products like stocks, shares, bonds, trusts, etc",Prefer not to say,"₹10,000-₹50,000 monthly",Not applicable,Yes,New National Pension Scheme (NPS),Does not consider it important,None of the above,"₹ 10,200.00"
2019/07/04 10:35:40 AM GMT+5:30,Male,50-59,Post Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,1,4,You and your partner,No,I consider several products from different companies before making decision,Recommendations from independent financial advisor/broker,1,5,5,1,3,1,1,4,No,,Building up balance of money in bank account,More than 6 months,"above ₹1,00,000 monthly",Rental income,Yes,Employee Provident Fund (EPF),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/04 11:20:03 AM GMT+5:30,Male,20-29,Ph.D/Post Doctorate,Student,150,Single,Unmarried ,4,You,No,I consider several products from different companies before making decision,Financial pages of newspaper/magazines,1,1,1,1,1,1,5,1,No,Prefer not to say,Prefer not to say,Prefer not to say,"₹10,000-₹50,000 monthly",Not applicable,Don't know,None,"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,200.00"
2019/07/04 11:57:20 AM GMT+5:30,Male,30-39,Graduation,In paid employment(Government service),A city ( 100 000 people to about 1 000 000 people),Married,0,2,You,No,I consider several products from different companies before making decision,General advice from friends/relatives/employers,3,2,3,2,2,1,2,5,Yes,Fall behind in paying bills late/missing payments,Building up balance of money in bank account,More than 6 months,"₹10,000-₹50,000 monthly",Not applicable,Yes,New National Pension Scheme (NPS),A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/04 12:09:38 PM GMT+5:30,Male,30-39,Graduation,In paid employment(Government service),A large city ( with over  1000 000 people),Married,0,1,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,5,5,1,2,2,1,2,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"above ₹1,00,000 monthly",Not applicable,Yes,New National Pension Scheme (NPS);Employee Provident Fund (EPF);Public Provident Fund (PPF),"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,200.00"
2019/07/05 12:19:58 AM GMT+5:30,Male,30-39,Ph.D/Post Doctorate,In paid employment(Private/Corporate sector),A large city ( with over  1000 000 people),Married,1,1,You and your partner,Yes,I consider several products from different companies before making decision,My own previous experience,1,2,5,1,1,3,4,5,No,,"Investing in financial products like stocks, shares, bonds, trusts, etc",More than 6 months,"₹50,000-₹1,00,000 monthly",Not applicable,Don't know,Employee Provident Fund (EPF);Public Provident Fund (PPF);Others,A responsibility for coming generations,Drinking;Smoking;Gambling;Others,"₹ 10,200.00"
2019/07/05 7:59:43 AM GMT+5:30,Male,20-29,Post Graduation,Student,A large city ( with over  1000 000 people),Single,0,1,You and your partner,Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,3,2,1,1,1,5,1,Yes,Borrowing money from known contacts/resources,Have not been actively saving,Less than 3 months,"₹10,000-₹50,000 monthly",Parental support,Yes,None,A means to make ends meet,Drinking;Smoking,"₹ 10,200.00"
2019/07/05 8:11:36 AM GMT+5:30,Female,20-29,Post Graduation,Student,A city ( 100 000 people to about 1 000 000 people),Single,0,3,You and another family member,Yes,I consider several products from different companies before making decision,Financial pages of newspaper/magazines,1,5,4,1,3,2,3,4,No,Prefer not to say,Have not been actively saving,Less than 6 months,"₹50,000-₹1,00,000 monthly",Parental support,Yes,None,A responsibility for coming generations,None of the above,"₹ 10,200.00"
2019/07/05 11:04:58 AM GMT+5:30,Female,20-29,Ph.D/Post Doctorate,Looking for job,"A town ( 15,000 to about 100 000 people)",Single,None,5,Another member of family or[family members],Yes,I consider several products from different companies before making decision,Product specific information found on the net,1,4,4,1,4,1,1,3,Don't know,Existing resources like FDs or selling something you own,Have not been actively saving,More than 6 months,"₹10,000-₹50,000 monthly",Not applicable,Yes,None,"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/05 1:06:31 PM GMT+5:30,Male,50-59,Post Graduation,In paid employment(Government service),A city ( 100 000 people to about 1 000 000 people),Married,,3,You and another family member,No,I consider several products from different companies before making decision,Information picked up at any bank branch,1,1,1,1,5,1,1,1,No,New line of credit like taking out personal loan/payday loan,Buying livestock/property,Prefer not to say,"above ₹1,00,000 monthly",Working spouse,Yes,Old Pension Scheme ( Pre 2004),A responsibility for coming generations,None of the above,Don't know
2019/07/06 4:13:35 PM GMT+5:30,Male,60-69,Post Graduation,Retired,A city ( 100 000 people to about 1 000 000 people),Married,Nil,2,You and your partner,No,I consider several products from different companies before making decision,My own previous experience,2,2,2,1,3,1,4,1,No,,Building up balance of money in bank account,More than 6 months,"₹10,000-₹50,000 monthly",Not applicable,Yes,Employee Provident Fund (EPF);Public Provident Fund (PPF),Does not consider it important,None of the above,"₹ 10,200.00"
2019/07/06 11:01:25 PM GMT+5:30,Female,30-39,Post Graduation,Homemaker,A large city ( with over  1000 000 people),Married,One,1,You and your partner,No,I consider several products from different companies before making decision,Product specific information found on the net,2,4,5,1,2,2,1,3,No,others,Building up balance of money in bank account,More than 6 months,"above ₹1,00,000 monthly",Not applicable,Yes,None,"Source of privilege, luxury, power and prestige",None of the above,"₹ 10,200.00"
2019/07/08 10:54:02 AM GMT+5:30,Male,40-49,Graduation,Self employed/Business,A large city ( with over  1000 000 people),Married,1,1,You,Yes,I consider several products from different companies before making decision,Information picked up at any bank branch,1,5,5,1,4,1,1,5,Yes,Creating resources by working overtime,Building up balance of money in bank account,Don't know,"₹10,000-₹50,000 monthly",Not applicable,No,None,A means to make ends meet,None of the above,"₹ 10,200.00"
2019/07/08 7:19:50 PM GMT+5:30,Female,40-49,Post Graduation,In paid employment(Government service),A city ( 100 000 people to about 1 000 000 people),Separated/divorced,,2,You and another family member,Yes,I consider several products from different companies before making decision,General advice from friends/relatives/employers,1,5,4,1,3,1,1,4,Prefer not to say,,Building up balance of money in bank account,Prefer not to say,"₹10,000-₹50,000 monthly",Parental support,Yes,New National Pension Scheme (NPS),"For rainy day (fear of loss of job , health, earning member, theft or any act of God)",None of the above,"₹ 10,200.00"
2019/07/08 7:28:10 PM GMT+5:30,Male,70-79,Graduation,Retired,A city ( 100 000 people to about 1 000 000 people),Married,,,You,Yes,Don't know,Information picked up at any bank branch,1,1,1,1,1,1,1,,No,,Building up balance of money in bank account,Don't know,"₹50,000-₹1,00,000 monthly",Rental income,Yes,Old Pension Scheme ( Pre 2004),A means to make ends meet,None of the above,Don't know
